,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
10,561,Pitch Perfect,(2012),"['Comedy, Music, Romance']",7.1,291413,['Jason Moore '],"['Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp']","[""Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.""]",$65.00M,PG-13
11,562,Full Metal Jacket,(1987),"['Drama, War']",8.3,705872,['Stanley Kubrick '],"[""Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin""]",['A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.'],$46.36M,R
12,563,The Mask,(1994),"['Action, Comedy, Crime']",6.9,365372,['Chuck Russell '],"['Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene']",['Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.'],$119.94M,PG-13
13,564,"Three Billboards Outside Ebbing, Missouri",(2017),"['Comedy, Crime, Drama']",8.1,470829,['Martin McDonagh '],"['Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones']","[""A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.""]",$54.51M,R
14,565,The Lion King,(1994),"['Animation, Adventure, Drama']",8.5,990718,"['Directors: Roger Allers, Rob Minkoff ']","['Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg']","['Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.']",$422.78M,G
15,566,Happy Gilmore,(1996),"['Comedy, Sport']",7.0,210365,['Dennis Dugan '],"['Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay']","[""A rejected hockey player puts his skills to the golf course to save his grandmother's house.""]",$38.62M,PG-13
16,567,Verónica,(2017),['Horror'],6.2,39052,['Paco Plaza '],"['Sandra Escacena, Bruna González, Claudia Placer, Iván Chavero']","['Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.']",NA,TV-MA
17,568,Labyrinth,(1986),"['Adventure, Family, Fantasy']",7.4,130572,['Jim Henson '],"['David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson']",['Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.'],$12.73M,PG
18,569,Friday the 13th Part 2,(1981),"['Horror, Mystery, Thriller']",6.1,64703,['Steve Miner '],"['Betsy Palmer, Amy Steel, John Furey, Adrienne King']","['Five years after the events of the first film, a summer camp next to the infamous Camp Crystal Lake is preparing to open, but the legend of Jason is weighing heavy on the proceedings.']",$21.72M,R
19,570,The Notebook,(2004),"['Drama, Romance']",7.8,543976,['Nick Cassavetes '],"['Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling']","['A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.']",$81.00M,PG-13
20,571,Rocketman,(2019),"['Biography, Drama, Musical']",7.3,160406,['Dexter Fletcher '],"['Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard']","[""A musical fantasy about the fantastical human story of Elton John's breakthrough years.""]",$96.37M,R
21,572,The Thing,(2011),"['Horror, Mystery, Sci-Fi']",6.2,127716,['Matthijs van Heijningen Jr. '],"['Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen']","['At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.']",$16.93M,R
22,573,The Karate Kid,(1984),"['Action, Drama, Family']",7.3,209651,['John G. Avildsen '],"['Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove']",['A martial arts master agrees to teach karate to a bullied teenager.'],$90.82M,PG
23,574,Fargo,(1996),"['Crime, Thriller']",8.1,647092,"['Directors: Joel Coen, Ethan Coen ']","['William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare']","[""Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.""]",$24.61M,R
24,575,Underworld,(2003),"['Action, Fantasy, Thriller']",7.0,261823,['Len Wiseman '],"['Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen']","['Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.']",$51.97M,R
25,576,Matilda,(1996),"['Comedy, Family, Fantasy']",6.9,140060,['Danny DeVito '],"['Danny DeVito, Rhea Perlman, Mara Wilson, Embeth Davidtz']","['This film adaptation of a Roald Dahl work tells the story of Matilda Wormwood, a gifted girl forced to put up with a crude, distant father and mother.']",$33.08M,PG
